city,total_people
Abbott,753
Abernathy,"2,042"
Abilene,"69,773"
Ace,112
Ackerly,368
Addison,"9,038"
Adkins,"5,758"
Adrian,152
Afton,80
Agua Dulce,609
Aguilares,19
Aiken,1
Alamo,"13,613"
Alamo Heights,83
Alanreed,36
Alba,"3,392"
Albany,"1,677"
Aledo,"12,972"
Alice,"18,075"
Allen,"60,741"
Alleyton,696
Allison,141
Alpine,"5,682"
Altair,180
Alto,"2,314"
Alton,"6,398"
Alvarado,"11,041"
Alvin,"27,696"
Alvord,"2,416"
Amarillo,"124,057"
Amherst,454
Anahuac,"3,360"
Anderson,"2,105"
Andrews,"9,545"
Angleton,"17,381"
Anna,"9,602"
Annona,495
Anson,"2,240"
Anthony,"1,987"
Anton,943
Apple Springs,807
Aquilla,813
Aransas Pass,"7,204"
Archer City,"1,300"
Arcola,311
Argyle,"14,014"
Arlington,"204,822"
Armstrong,64
Arp,"2,518"
Art,78
Artesia Wells,38
Arthur City,708
Asherton,"1,078"
Aspermont,850
Atascosa,"4,015"
Athens,"14,631"
Atlanta,"6,869"
Aubrey,"9,645"
Aurora,947
Austin,"691,227"
Austwell,167
Avalon,153
Avery,"1,168"
Avinger,"1,825"
Avoca,129
Axtell,"1,609"
Azle,"19,478"
Bacliff,"4,463"
Bagwell,465
Bailey,113
Baileys Prairie,4
Baird,"1,992"
Bakersfield,18
Balch Springs,"10,475"
Balcones Heights,1
Ballinger,"3,191"
Balmorhea,442
Bandera,"6,947"
Bangs,"1,887"
Banquete,552
Bardwell,236
Barksdale,189
Barnhart,97
Barry,871
Barstow,246
Bartlett,"1,374"
Bartonville,"1,183"
Bastrop,"17,329"
Batesville,750
Batson,827
Bay City,"13,013"
Bayou Vista,"1,520"
Bayside,280
Baytown,"51,763"
Bayview,289
Beach City,"2,447"
Beasley,"1,098"
Beaumont,"79,390"
Bebe,33
Beckville,"1,724"
Bedford,"31,457"
Bedias,"2,194"
Bee Cave,"1,262"
Bee Caves,35
Beeville,"12,242"
Bellaire,"12,699"
Bellevue,631
Bellmead,"4,690"
Bells,"2,211"
Bellville,"6,642"
Belton,"22,826"
Ben Arnold,19
Ben Bolt,351
Ben Franklin,154
Ben Wheeler,"4,050"
Benavides,"1,312"
Benbrook,"15,446"
Bend,27
Benjamin,163
Berclair,213
Bergheim,436
Bertram,"3,675"
Beverly Hills,904
Bevil Oaks,721
Big Bend National Park,123
Big Lake,"1,776"
Big Sandy,"3,590"
Big Spring,"15,358"
Big Wells,498
Bigfoot,521
Bishop,"2,772"
Bivins,"1,099"
Blackwell,509
Blanco,"4,159"
Blanket,959
Bledsoe,44
Bleiblerville,183
Blessing,843
Bloomburg,788
Blooming Grove,"1,155"
Bloomington,"1,761"
Blossom,"1,898"
Blue Mound,"1,185"
Blue Ridge,"2,371"
Bluegrove,3
Bluetown,5
Bluff Dale,"1,235"
Bluffton,163
Blum,"1,054"
Boerne,"32,600"
Bogata,"1,679"
Boling,"1,338"
Bon Wier,866
Bonham,"7,163"
Bonney,6
Booker,835
Borger,"8,043"
Bovina,849
Bowie,"6,538"
Boyd,"4,311"
Boys Ranch,209
Brackettville,"2,108"
Brady,"4,191"
Brandon,70
Brashear,805
Brazoria,"8,282"
Breckenridge,"4,832"
Bremond,"1,500"
Brenham,"17,994"
Briarcliff,"1,439"
Bridge City,"5,764"
Bridgeport,"4,991"
Briggs,330
Briscoe,174
Broaddus,"1,220"
Brock,418
Bronson,"1,403"
Bronte,906
Brookeland,"1,794"
Brookesmith,305
Brooks Afb,3
Brookshire,"5,977"
Brookside Village,915
Brookside Vl,4
Brookston,658
Brownfield,"5,649"
Brownsboro,"2,620"
Brownsville,"93,197"
Brownwood,"14,214"
Bruceville,"1,108"
Brundage,2
Bruni,325
Bryan,"48,275"
Bryson,502
Buchanan Dam,"1,531"
Buckholts,753
Buda,"21,763"
Buffalo,"2,989"
Buffalo Gap,779
Bullard,"8,199"
Bulverde,"9,100"
Buna,"5,276"
Burkburnett,"7,868"
Burke,443
Burkett,121
Burkeville,"1,045"
Burleson,"44,801"
Burlington,338
Burnet,"9,451"
Burton,"1,955"
Bushland,"1,184"
Byers,456
Bynum,351
Cactus,618
Caddo,162
Caddo Mills,"4,452"
Caldwell,"7,770"
Call,987
Calliham,116
Callisburg,229
Calvert,"1,120"
Camden,77
Cameron,"4,565"
Camp Verde,56
Camp Wood,852
Campbell,"1,989"
Campbellton,160
Canadian,"2,183"
Canton,"9,291"
Canutillo,"5,763"
Canyon,"13,437"
Canyon Lake,"14,438"
Carbon,449
Carlsbad,772
Carlton,185
Carmine,633
Carrizo Spgs,74
Carrizo Springs,"4,975"
Carrollton,"73,041"
Carthage,"9,606"
Cason,22
Castell,58
Castroville,"5,444"
Cat Spring,"1,162"
Catarina,84
Cayuga,76
Cedar Creek,"7,301"
Cedar Hill,"30,401"
Cedar Lane,24
Cedar Park,"52,044"
Cee Vee,33
Celeste,"1,868"
Celina,"9,647"
Center,"7,587"
Center Point,"1,907"
Centerville,"2,340"
Centralia,8
Chandler,"6,521"
Channelview,"12,645"
Channing,297
Chapman Ranch,49
Chappell Hill,"1,594"
Charlotte,"1,247"
Chatfield,195
Cherokee,428
Chester,645
Chico,"2,212"
Chicota,37
Childress,"3,482"
Chillicothe,549
Chilton,802
China,"1,380"
China Spring,"3,717"
Chireno,714
Christine,257
Christoval,"1,314"
Cibolo,"19,654"
Cisco,"3,607"
City By The Sea,53
Clarendon,"1,597"
Clarksville,"3,217"
Claude,"1,292"
Clayton,9
Clear Lake Shores,974
Clear Lk Shrs,4
Cleburne,"24,186"
Clemville,4
Cleveland,"21,627"
Clifton,"4,677"
Clint,"3,713"
Clute,"5,737"
Clyde,"5,264"
Coahoma,807
Coldspring,"5,160"
Coleman,"3,694"
College Station,"62,677"
Collegeport,74
Colleyville,"20,103"
Collinsville,"2,229"
Colmesneil,"1,969"
Colorado City,"3,423"
Columbus,"4,415"
Comanche,"4,788"
Combes,410
Combine,"1,730"
Comfort,"3,677"
Commerce,"5,172"
Como,"1,147"
Comstock,161
Concan,373
Concepcion,464
Conroe,"85,421"
Converse,"26,526"
Cookville,964
Coolidge,630
Cooper,"2,410"
Coppell,"27,263"
Copper Canyon,876
Copperas Cove,"22,566"
Corinth,"14,530"
Corpus Christi,"175,473"
Corrigan,"2,331"
Corsicana,"17,804"
Cost,295
Cotton Center,55
Cottonwood Shores,687
Cotulla,"3,316"
Coupland,850
Cove,"2,544"
Covington,"1,124"
Coyanosa,108
Crandall,"3,172"
Crane,"2,474"
Cranfills Gap,393
Crawford,"2,227"
Creedmoor,293
Cresson,"1,298"
Crockett,"6,934"
Crosby,"18,220"
Crosbyton,"1,306"
Cross Plains,"1,236"
Crossroads,"2,874"
Crowell,853
Crowley,"16,471"
Crystal Beach,"1,230"
Crystal City,"5,853"
Cuero,"6,166"
Cumby,"1,900"
Cuney,88
Cunningham,53
Cushing,"1,657"
Cut And Shoot,1
Cypress,"108,424"
Cypress Mill,120
D Hanis,815
Da Costa,1
Daingerfield,"3,571"
Daisetta,635
Dale,"3,771"
Dalhart,"4,766"
Dallardsville,22
Dallas,"633,739"
Dalworthington Gardens,1
Damon,"1,645"
Danbury,"2,083"
Danciger,9
Danevang,14
Darrouzett,273
Davilla,61
Dawn,40
Dawson,"1,013"
Dayton,"16,011"
De Berry,"2,031"
De Kalb,"4,027"
De Leon,"2,565"
Decatur,"11,538"
Decordova,1
Deer Park,"20,704"
Del Rio,"25,736"
Del Valle,"8,973"
Dell City,269
Delmita,226
Denison,"19,252"
Denton,"78,014"
Denver City,"3,275"
Deport,660
Derby,17
Desdemona,275
Desoto,"35,349"
Detroit,"1,302"
Devers,587
Devine,"6,292"
Deweyville,151
Diana,"3,498"
Diboll,"4,054"
Dickens,260
Dickinson,"15,385"
Dies,8
Dike,835
Dilley,"2,107"
Dime Box,722
Dimmitt,"2,269"
Dinero,6
Dodd City,688
Dodson,78
Donie,406
Donna,"18,289"
Doole,24
Dorchester,98
Doss,237
Double Oak,"2,337"
Doucette,164
Dougherty,37
Douglass,938
Douglassville,667
Driftwood,"3,847"
Dripping Spgs,5
Dripping Springs,"13,245"
Driscoll,520
Dryden,38
Dublin,"4,468"
Dumas,"7,697"
Dumont,10
Duncanville,"22,757"
Dunlay,5
Dunn,6
Dyess Afb,818
Eagle Lake,"2,709"
Eagle Pass,"30,221"
Early,"3,458"
Earth,673
East Bernard,"3,526"
East Tawakoni,552
Eastland,"3,453"
Easton,20
Ecleto,5
Ector,524
Edcouch,"4,157"
Eddy,"1,766"
Eden,853
Edgewood,"2,574"
Edinburg,"62,932"
Edmonson,55
Edna,"5,032"
Edom,1
Edroy,178
Egypt,29
El Campo,"9,576"
El Cenizo,"1,456"
El Indio,144
El Lago,"2,153"
El Paso,"395,880"
El Sauz,1
Elbert,66
Eldorado,"1,574"
Electra,"2,048"
Elgin,"12,543"
Eliasville,138
Elkhart,"3,465"
Ellinger,213
Elm Mott,"1,732"
Elmaton,24
Elmendorf,"4,233"
Elsa,"5,191"
Elysian Fields,17
Emory,"4,299"
Enchanted Oaks,163
Encinal,629
Encino,264
Energy,25
Enloe,48
Ennis,"14,436"
Enochs,32
Eola,164
Era,346
Escobares,85
Estelline,95
Etoile,887
Euless,"35,102"
Eustace,"3,183"
Evadale,663
Evant,657
Everman,"1,629"
Fabens,"4,164"
Fair Oaks Ranch,"8,318"
Fairfield,"4,539"
Fairview,"6,533"
Falcon,86
Falcon Heights,243
Falfurrias,"5,315"
Falls City,"1,411"
Fannin,91
Farmers Branch,"16,423"
Farmersville,"5,964"
Farnsworth,75
Farwell,"1,131"
Fate,"8,013"
Fayetteville,"1,639"
Fentress,206
Ferris,"3,624"
Fieldton,12
Fischer,"1,123"
Flatonia,"1,990"
Flint,"9,208"
Flomot,74
Florence,"2,576"
Floresville,"14,620"
Flower Mound,"49,553"
Flowermound,10
Floydada,"2,317"
Fluvanna,133
Follett,434
Forest Hill,"6,348"
Forestburg,788
Forney,"25,609"
Forreston,268
Forsan,159
Fort Bliss,"3,090"
Fort Davis,"1,468"
Fort Hancock,642
Fort Hood,"5,954"
Fort Mc Kavett,24
Fort McKavett,59
Fort Sam Houston,"1,047"
Fort Stockton,"6,648"
Fort Worth,"453,435"
Fowlerton,102
Francitas,113
Franklin,"3,434"
Frankston,"3,950"
Fred,709
Fredericksbrg,1
Fredericksburg,"16,237"
Fredonia,136
Freeport,"7,151"
Freer,"2,271"
Fresno,"12,980"
Friendswood,"36,583"
Friona,"2,202"
Frisco,"105,087"
Fritch,"3,513"
Fronton,3
Frost,"1,050"
Fruitvale,"1,055"
Ft Worth,65
Fulshear,"10,690"
Fulton,"1,203"
Gail,317
Gainesville,"14,027"
Galena Park,"4,059"
Gallatin,104
Galveston,"33,054"
Ganado,"1,969"
Garciasville,165
Garden City,599
Garden Ridge,"3,492"
Gardendale,"1,756"
Garland,"116,427"
Garrison,"2,202"
Garwood,650
Gary,"1,397"
Gatesville,"10,356"
Gause,641
George West,"3,048"
Georgetown,"66,194"
Giddings,"4,961"
Gilchrist,105
Gillett,227
Gilmer,"14,870"
Girard,93
Girvin,17
Gladewater,"8,288"
Glazier,6
Glen Flora,84
Glen Rose,"4,669"
Glenn Heights,"7,903"
Glidden,186
Godley,"2,968"
